"Device","Function Group","Function Name","Zone","ID1 Code","ID2 Code","Comment","Export Comment – starting this with # will comment out the code as well"
"RECEIVER","INPUT","AUDIO_SEL_ANALOG","-","7E-AA","7E-AA54","1067 2067 3067",
"RECEIVER","INPUT","AUDIO_SEL_AUTO","-","7E-A6","7E-A658","1067 2067 3067",
"RECEIVER","INPUT","AUDIO_SEL_COAX_OPT","-","7E-A9","7E-A957","1067 2067 3067",
"RECEIVER","INPUT","AUDIO_SEL_HDMI","-","7E-DA","7E-DA24","1067 2067 3067",
"RECEIVER","DISPLAY","ASPECT_SMART_ZOOM","-","7E-225D","7E-225C","2067 3067",
"RECEIVER","DISPLAY","ASPECT_THROUGH","-","7E-235C","7E-235D","2067 3067",
"DOCK","MENU","CONNECT","-","7F01-502F","7F01-502E",,
"DOCK","MENU","DISCONNECT","-","7F01-512E","7F01-512F",,
"DOCK","MENU","MENU_BROWSE","-","7F01-413E","7F01-413F",,
"DOCK","MENU","PAIRING","-","7F01-4E31","7F01-4E30",,
"DOCK","MENU","PARING_CANCEL","-","7F01-4F30","7F01-4F31",,
"DOCK","MENU","SIMPLE_REMOTE","-","7F01-403F","7F01-403E",,
"NET","MENU","BOOKMARK_OFF","-","7F01-4738","7F01-4739","867 1067 2067 3067",
"NET","MENU","BOOKMARK_ON","-","7F01-4639","7F01-4638","867 1067 2067 3067",
"NET","INPUT","NET_RADIO","MAIN","7F01-6F10","7F01-6F11","867 1067 2067 3067",
"NET","INPUT","NET_RADIO","ZONE2","7F01-700F","7F01-700E","867 1067 2067 3067",
"NET","INPUT","NET_RADIO","ZONE3","7F01-710E","7F01-710F","2067 3067",
"NET","INPUT","PC_MCX","MAIN","7F01-6C13","7F01-6C12","867 1067 2067 3067",
"NET","INPUT","PC_MCX","ZONE2","7F01-6D12","7F01-6D13","867 1067 2067 3067",
"NET","INPUT","PC_MCX","ZONE3","7F01-6E11","7F01-6E10","2067 3067",
"NET","INPUT","RHAPSODY","MAIN","7F01-7F0A","7F01-750B","867 1067 2067 3067",
"NET","INPUT","RHAPSODY","ZONE2","7F01-7609","7F01-7608","867 1067 2067 3067",
"NET","INPUT","RHAPSODY","ZONE3","7F01-7708","7F01-7709","2067 3067",
"NET","INPUT","SIRIUS_INTERNET_RADIO","MAIN","7F01-81FE","7F01-81FF","867 1067 2067 3067",
"NET","INPUT","SIRIUS_INTERNET_RADIO","ZONE2","7F01-82FD","7F01-82FC","867 1067 2067 3067",
"NET","INPUT","SIRIUS_INTERNET_RADIO","ZONE3","7F01-83FC","7F01-83FD","2067 3067",
"SIRIUS","MENU","ALL_CH_SEARCH","-","7F01-0F70","7F01-0F71",,
"SIRIUS","MENU","CATEGORY_SEARCH","-","7F01-106F","7F01-106E",,
"SIRIUS","MENU","SEARCH_MODE","-","7F01-DE","7F01-DE20",,
